[p.sfm] v2212	Sort	S	M	P	F	C	Description	U2.3	U2.35	U2.4	U2.404	U3.0	V2211	Special	Base	Face	Vert	Horz	Extra	X2	.	Example
m	Z			1			Flush Left Margin Paragraph	27	30	30	S	X	1			B40	L10	M	Default			
f ... f*	X				1		Footnote	41	44	44		X	1	Convert to Footnote	m	C76	F10	M				
im	X			1			Intro Margin Paragraph	12	15	15		X	1		m	S40		M	SPN			
iq	X			1			Intro Poetry Paragraph	14	17	17		X	1		im	S40		C				
mt	X			1			Major Title	18	21	21	S	X	1		m	T50	L90	CB	KPN	SPN		
q	X			1			Poetry Paragraph	34	37	37	S	X	1		m			C	QVS			
[[ ... ]] ($)	W	1	1			1	Verse Text Placeholder [p.sfm]						0				R00		Clear			
[{ ... }] ($)	W	1	1			1	Tag Variable Text Placement marker [p.sfm]						0	Insert contents of variable named here			R00		Clear			
cat ... cat* ($)	V	1	1			1	Category	76	86	88		E	0	TextVariable: character			R00		Clear			
cn ... cn* ($)	V	1				1	Chapter Number in Header [p.sfm]						0.9	created in converter		T50				FPL		
cp ( $)	V	1					Published Chapter	24	27	27		X	1		rem							
fig0 (&)	V		1	1			Figure Dimensions [p.sfm]						1	TextVariable: 	rem							
fig1 (&)	V		1	1			Figure Description [USFM]						1	TextVariable: 	rem							
fig2 (&)	V		1	1			Figure Filename [USFM]						1	TextVariable: 	rem							
fig3 (&)	V		1	1			Figure Scripture Range [USFM]						1	TextVariable: 	rem							
fig4 (&)	V		1	1			Figure Rights [USFM]						1	TextVariable: 	rem							
fig5 (&)	V		1	1			Figure Caption [USFM]						1	TextVariable: 	rem							
fig6 (&)	V		1	1			Figure Reference [USFM]						1	TextVariable: 	rem							
fig7 (&)	V		1	1			Figure Horiz Dimension [p.sfm]						1	TextVariable: 	rem							
fig8 (&)	V		1	1			Figure Vertical Dim [p.sfm]						1	TextVariable: 	rem							
fig9 (&)	V		1	1			Figure Data [p.sfm]						1	TextVariable: 	rem							
h (&)	V		1	1			Header Text [USFM]				S	X	1	TextVariable: paragraph	rem							
h0 (&)	V		1	1			Header Even Page Outside [p.sfm]					D	1	TextVariable: paragraph	rem							
h1 (&)	V		1	1			Header Odd Page Outside [p.sfm]	9	9	9	S	D	1	TextVariable: paragraph	rem							
h2 (&)	V		1	1			Header Even Page Inside  [p.sfm]	9	9	9	S	D	1	TextVariable: paragraph	rem							
h3 (&)	V		1	1			Header Odd Page Inside [p.sfm]	9	9	9	S	D	1	TextVariable: paragraph	rem							
h4 (&)	V		1	1			Header Even Page Center [p.sfm]	9	9	9		D	1	TextVariable: paragraph	rem							
h5 (&)	V		1	1			Header Odd Page Center [p.sfm]	9	9	9		D	1	TextVariable: paragraph	rem							
h6 (&)	V		1	1			Footer Even Page Outside [p.sfm]	9	9	9		D	1	TextVariable: paragraph	rem							
